ProductKey,Target,Model,MAE,RMSE,R2
2284,TotalSalesAmount,Prophet,1752.084808607258,2258.524455271875,-0.0398845882827993
2284,TotalSalesAmount,LightGBM,1541.0156035128823,2187.397312754392,0.0245817087419261
2284,TotalSalesQuantity,Prophet,23.17914340656526,30.170203164751733,-0.043237743105702
2284,TotalSalesQuantity,LightGBM,19.831107598268066,27.93529340243073,0.1055969002374986
896,TotalSalesAmount,Prophet,1722.9013037628474,1937.1441275623267,-1.537953627038076
896,TotalSalesAmount,LightGBM,917.7305762823618,1181.395660379614,0.0560465973865962
896,TotalSalesQuantity,Prophet,55.87263313529262,63.113348591190864,-3.244591844330137
896,TotalSalesQuantity,LightGBM,22.90949698671578,28.491749182197367,0.1349689149426236
2187,TotalSalesAmount,Prophet,3880.462232596647,5016.383188342465,-0.009607764245046
2187,TotalSalesAmount,LightGBM,3434.7664398198926,4618.424403931818,0.1442262653145938
2187,TotalSalesQuantity,Prophet,31.065238042027143,40.83058622515232,-0.0061607246208101
2187,TotalSalesQuantity,LightGBM,26.38349609512341,35.836759671306055,0.2249073859771001
2403,TotalSalesAmount,Prophet,2579.1036011564065,3746.8036616609006,-0.0220738968293383
2403,TotalSalesAmount,LightGBM,2156.901802223708,3563.1630283335858,0.0756598625985943
2403,TotalSalesQuantity,Prophet,24.394575958748685,35.511611624582166,-0.0235810178005839
2403,TotalSalesQuantity,LightGBM,20.964155523664683,34.433389064224855,0.0376323892034305
836,TotalSalesAmount,Prophet,301.1130314622466,391.2760838674069,-0.0289048644991236
836,TotalSalesAmount,LightGBM,296.7317783024143,389.1235877927736,-0.0176155373015685
836,TotalSalesQuantity,Prophet,19.661070704014268,25.77656352497589,-0.0165286348652937
836,TotalSalesQuantity,LightGBM,18.67835416754501,24.68922802061008,0.0674232091864155
1662,TotalSalesAmount,Prophet,889.3036601022429,1308.0016399213246,-0.1556302626553467
1662,TotalSalesAmount,LightGBM,800.0705241955487,1247.0509171596282,-0.0504386708439459
1662,TotalSalesQuantity,Prophet,131.12485913109182,193.0672286188916,-0.1507316669714151
1662,TotalSalesQuantity,LightGBM,116.80180997625833,178.68765649589685,0.0142970742623456
383,TotalSalesAmount,Prophet,10525.197268354555,13829.092176537384,-0.1871251933916375
383,TotalSalesAmount,LightGBM,10329.772475047084,13394.72505021005,-0.1137219670786118
383,TotalSalesQuantity,Prophet,18.50697451561668,24.458002078684764,-0.1929646591879648
383,TotalSalesQuantity,LightGBM,17.95631471945099,23.473069771516307,-0.0988170822530285
1090,TotalSalesAmount,Prophet,4349.948564991638,7620.380169769038,-0.0842769315267046
1090,TotalSalesAmount,LightGBM,4021.585324350764,6720.439930460677,0.1566995175063754
1090,TotalSalesQuantity,Prophet,13.80315557062604,24.49639585360616,-0.0727089914490044
1090,TotalSalesQuantity,LightGBM,12.796564331257615,21.42647655358152,0.179310158203113
2211,TotalSalesAmount,Prophet,3053.2567136260946,3561.42231693445,-0.0550038515835502
2211,TotalSalesAmount,LightGBM,2573.4495453010686,3587.325913835689,-0.0704065626534176
2211,TotalSalesQuantity,Prophet,30.92601623186713,36.32012314200448,-0.0421987388527496
2211,TotalSalesQuantity,LightGBM,25.651315927387987,35.3393042833563,0.0133300319633442
785,TotalSalesAmount,Prophet,119.0367315942263,168.7147523636748,-0.204363041751358
785,TotalSalesAmount,LightGBM,99.70197826347776,148.98977894044856,0.0607866569857141
785,TotalSalesQuantity,Prophet,13.34611136604648,19.0131475163749,-0.1805449768432212
785,TotalSalesQuantity,LightGBM,10.894412146570856,16.495686292004557,0.1113816448343133
580,TotalSalesAmount,Prophet,6638.993206615283,9345.534136909078,-0.0875135145544292
580,TotalSalesAmount,LightGBM,5943.332932936916,8496.67942961323,0.101072073816385
580,TotalSalesQuantity,Prophet,13.993692679961873,19.978552745130443,-0.0843758991895222
580,TotalSalesQuantity,LightGBM,12.765101093382109,18.0232892874009,0.11748943243713
1454,TotalSalesAmount,Prophet,5794.412730779069,7952.912117862779,-0.0072723646741275
1454,TotalSalesAmount,LightGBM,4797.397985160376,7740.388191196093,0.0458425721365891
1454,TotalSalesQuantity,Prophet,30.52738610238973,42.52930433494903,-0.0106545390054704
1454,TotalSalesQuantity,LightGBM,24.807654737849777,40.1829657537912,0.0977847834421362
904,TotalSalesAmount,Prophet,2104.94243446614,2601.923165848182,-0.0570014914650982
904,TotalSalesAmount,LightGBM,1694.0267818574916,2510.9105548367224,0.0156508987955257
904,TotalSalesQuantity,Prophet,33.47952256200491,39.86773178124387,-0.221738578236639
904,TotalSalesQuantity,LightGBM,23.096731564305536,34.71347815196487,0.0737430218049167
504,TotalSalesAmount,Prophet,10785.554373902914,16042.281543745425,-0.1342652900032346
504,TotalSalesAmount,LightGBM,9391.434994833591,15024.516224787094,0.0050909797033147
504,TotalSalesQuantity,Prophet,12.932145231835404,19.20206584958058,-0.1446833776414253
504,TotalSalesQuantity,LightGBM,11.035239481583249,17.737515908497173,0.0232687951059752
1696,TotalSalesAmount,Prophet,936.558569412033,1287.922115202311,-0.194469859711851
1696,TotalSalesAmount,LightGBM,869.7262170815746,1197.0826598578674,-0.0319158287257876
1696,TotalSalesQuantity,Prophet,57.31507744951429,77.83996158332785,-0.202561847818258
1696,TotalSalesQuantity,LightGBM,50.67963716134,68.923108008741,0.057173236666969
956,TotalSalesAmount,Prophet,2443.3560064979883,3086.0278599874064,-0.2149542727121998
956,TotalSalesAmount,LightGBM,2424.294964689705,3073.2961008525053,-0.2049500878368531
956,TotalSalesQuantity,Prophet,12.820460275017265,16.45041155067145,-0.2053298288667724
956,TotalSalesQuantity,LightGBM,12.274846901105972,15.662132828925737,-0.0925823367132929
46,TotalSalesAmount,Prophet,3640.44477594027,4578.188188692229,-0.0605029309420173
46,TotalSalesAmount,LightGBM,3091.389104747471,4250.461114469153,0.085893732467821
46,TotalSalesQuantity,Prophet,25.29338001288261,32.42389990943197,-0.0375950963229934
46,TotalSalesQuantity,LightGBM,21.377303859623584,29.312319570577035,0.151996228037588
2388,TotalSalesAmount,Prophet,5389.187955677358,7186.933342292316,-0.0104494616686738
2388,TotalSalesAmount,LightGBM,4140.392444721073,6325.125940193146,0.2173533735913594
2388,TotalSalesQuantity,Prophet,28.486407396158093,38.251817116773566,-0.0080656131947318
2388,TotalSalesQuantity,LightGBM,22.04460331391905,33.38983966301226,0.2319078506879331
682,TotalSalesAmount,Prophet,1603.133042317918,2483.336930920791,-0.0532149064160527
682,TotalSalesAmount,LightGBM,1679.9432169219565,2377.978381484172,0.0342571378773258
682,TotalSalesQuantity,Prophet,12.657545942270016,20.102675285628123,-0.055293691640823
682,TotalSalesQuantity,LightGBM,12.93087639437543,18.36060999896749,0.1196814805963879
2064,TotalSalesAmount,Prophet,1610.3041910968254,2276.6526647505552,-0.0587373567916174
2064,TotalSalesAmount,LightGBM,1509.6508752487564,1940.2073157965244,0.2310626496596258
2064,TotalSalesQuantity,Prophet,12.153317206938326,17.480123404358736,-0.0605247127688559
2064,TotalSalesQuantity,LightGBM,11.131448171213568,14.708511910486864,0.2491221773983928
932,TotalSalesAmount,Prophet,1526.4676209752988,2256.744179208207,-0.0394722749939875
932,TotalSalesAmount,LightGBM,1443.1619100621722,2194.179255489412,0.0173644821818522
932,TotalSalesQuantity,Prophet,29.40210087241138,43.64596998699953,-0.0453141483713239
932,TotalSalesQuantity,LightGBM,27.240178055470643,41.846304810546194,0.0391120269775309
2198,TotalSalesAmount,Prophet,6254.383018065416,8379.334844582498,0.0056768299903013
2198,TotalSalesAmount,LightGBM,6283.711116516577,8356.465758316834,0.0110968859961061
2198,TotalSalesQuantity,Prophet,10.446280541558703,13.99066090299422,-0.0078073984686151
2198,TotalSalesQuantity,LightGBM,9.483968437833974,13.294458979598064,0.089997851234588
2394,TotalSalesAmount,Prophet,3960.474265001444,5420.209470198838,-0.0840342961570226
2394,TotalSalesAmount,LightGBM,2714.368884211325,4050.7381073186034,0.3945487051821827
2394,TotalSalesQuantity,Prophet,13.947671865519268,19.502635558941776,-0.0819000846083177
2394,TotalSalesQuantity,LightGBM,9.873144821203535,14.893880068323094,0.3690190479872799
2490,TotalSalesAmount,Prophet,8660.267289959334,11122.08082999767,-0.0200326860821524
2490,TotalSalesAmount,LightGBM,7102.701271938628,10610.507608086276,0.0716444955535037
2490,TotalSalesQuantity,Prophet,599.994504910092,783.8269306571362,-0.0222563649219655
2490,TotalSalesQuantity,LightGBM,501.8698149135808,755.486747547087,0.0503290296624654
2051,TotalSalesAmount,Prophet,2156.8193322976635,3162.200116838181,-0.1556782107196435
2051,TotalSalesAmount,LightGBM,1674.4798609930258,2719.5283721627698,0.145237594734075
2051,TotalSalesQuantity,Prophet,12.671237009880562,18.781068793247385,-0.1708831369848655
2051,TotalSalesQuantity,LightGBM,9.767404978109107,15.653828360834993,0.1865814361809727
254,TotalSalesAmount,Prophet,4147.153139542901,5562.913939620663,-0.0612540602620177
254,TotalSalesAmount,LightGBM,3688.3222118359454,5482.081869779428,-0.0306369683846248
254,TotalSalesQuantity,Prophet,13.104483726322403,17.86108364328069,-0.0456721564195055
254,TotalSalesQuantity,LightGBM,11.77397332288986,17.697857065353368,-0.0266473771746629
1655,TotalSalesAmount,Prophet,2788.484389369196,3462.686308024016,-0.2468651339107721
1655,TotalSalesAmount,LightGBM,2490.154376512417,3273.706038942324,-0.1144806708304597
1655,TotalSalesQuantity,Prophet,10.203455744395884,12.82271551994712,-0.2990613390490306
1655,TotalSalesQuantity,LightGBM,9.02250629039975,11.780005220593944,-0.0963787497244352
2259,TotalSalesAmount,Prophet,2476.888067641501,3403.6613983035245,-0.0196512540897058
2259,TotalSalesAmount,LightGBM,1964.6335520131768,3134.437754862821,0.135274514405951
2259,TotalSalesQuantity,Prophet,25.672583000684902,35.92973289377474,-0.0229740031843426
2259,TotalSalesQuantity,LightGBM,20.21263310189549,32.553592249147044,0.1602414027650853
1137,TotalSalesAmount,Prophet,5570.829426245762,7575.406504543849,-0.0996239068226707
1137,TotalSalesAmount,LightGBM,5011.2398620898975,6564.08657454926,0.1743786994582951
1137,TotalSalesQuantity,Prophet,13.622641467009403,18.5469142447661,-0.0942916967067724
1137,TotalSalesQuantity,LightGBM,11.866873645234286,15.527460425068911,0.2330083462118461
560,TotalSalesAmount,Prophet,4912.676972590919,6630.174444620497,-0.0322669397034975
560,TotalSalesAmount,LightGBM,4110.104089891125,6069.038647900907,0.1350681009442544
560,TotalSalesQuantity,Prophet,26.984280096570103,37.13171135818983,-0.0262714279359845
560,TotalSalesQuantity,LightGBM,22.36482200617073,33.31337907527645,0.1739436390176673
864,TotalSalesAmount,Prophet,972.8646811252416,1193.4562934479563,-0.6496954120735987
864,TotalSalesAmount,LightGBM,583.9963153208179,874.3632340463842,0.114528669835675
864,TotalSalesQuantity,Prophet,37.31115580424304,41.67471935091388,-3.576301781967323
864,TotalSalesQuantity,LightGBM,11.935701251401,17.80482299230458,0.1646959073086119
118,TotalSalesAmount,Prophet,4745.664321715403,8159.114171110981,-0.0913647988770844
118,TotalSalesAmount,LightGBM,3978.605242900674,7509.8906071901265,0.0754058462083788
118,TotalSalesQuantity,Prophet,29.512198416787943,51.16527367678088,-0.091722462137828
118,TotalSalesQuantity,LightGBM,24.40579800127349,47.1166790474998,0.0742131930424565
561,TotalSalesAmount,Prophet,3962.487101053545,5387.511213024469,-0.0415663432341055
561,TotalSalesAmount,LightGBM,3017.298575021571,5154.241579992947,0.0466769276383159
561,TotalSalesQuantity,Prophet,29.950006877908468,40.44306708631575,-0.0377383484850757
561,TotalSalesQuantity,LightGBM,22.75493301522985,37.65083637010776,0.1006081366303994
1260,TotalSalesAmount,Prophet,1112.015757442374,1480.7542260377302,-0.0207797613982381
1260,TotalSalesAmount,LightGBM,1032.5666824775408,1358.48444235196,0.1408372733554003
1260,TotalSalesQuantity,Prophet,31.46383614287676,42.95487208114076,-0.0366239638676921
1260,TotalSalesQuantity,LightGBM,28.729145151631105,38.87228186267023,0.1510610604666917
2381,TotalSalesAmount,Prophet,4157.773392101583,5825.737993898318,-0.0329474450548299
2381,TotalSalesAmount,LightGBM,3534.6863607528367,5143.097374435705,0.1949444989188395
2381,TotalSalesQuantity,Prophet,21.85507046156128,30.896504612065485,-0.028283045346336
2381,TotalSalesQuantity,LightGBM,18.276332337520607,27.2295579908474,0.2013156782741564
759,TotalSalesAmount,Prophet,304.5049696308953,369.5989541897443,-0.0051390506498931
759,TotalSalesAmount,LightGBM,237.2343751825867,325.3650444183929,0.2210555915761359
759,TotalSalesQuantity,Prophet,27.06239865372733,33.21913563402274,0.0036980098791614
759,TotalSalesQuantity,LightGBM,19.814522098176813,28.360207003722845,0.2738386412791759
1304,TotalSalesAmount,Prophet,975.056049752848,1225.8046747752906,-0.0386867104853312
1304,TotalSalesAmount,LightGBM,773.6886501044206,994.3273175317318,0.3165594060711603
1304,TotalSalesQuantity,Prophet,15.283728750620668,19.524791761945146,-0.0261404014732484
1304,TotalSalesQuantity,LightGBM,12.088092555099132,15.689658297748265,0.3373854985541613
910,TotalSalesAmount,Prophet,2364.7353359463486,3200.8997063555653,0.0223340475371683
910,TotalSalesAmount,LightGBM,2065.515570481164,3127.303816426378,0.0667746929003637
910,TotalSalesQuantity,Prophet,24.155837952713394,33.186801954774275,0.0264135128550915
910,TotalSalesQuantity,LightGBM,20.84538195166723,31.42900593493849,0.1268175060565871
2098,TotalSalesAmount,Prophet,6112.729286804532,8337.098929419775,0.0023898459511154
2098,TotalSalesAmount,LightGBM,5397.477169341498,8307.411542483324,0.009481931256117
2098,TotalSalesQuantity,Prophet,12.605653642656325,17.07722148674297,-0.0097400258904776
2098,TotalSalesQuantity,LightGBM,11.37849057184038,16.83677304443656,0.0184942115986805
1731,TotalSalesAmount,Prophet,1470.858881102167,2070.540663453497,-0.0467117413361637
1731,TotalSalesAmount,LightGBM,1291.982851048415,2061.417883220796,-0.037508459190032
1731,TotalSalesQuantity,Prophet,21.121029914595777,29.57360792599888,-0.0448870037123909
1731,TotalSalesQuantity,LightGBM,18.28287795716556,28.607589332816552,0.0222603412455046
801,TotalSalesAmount,Prophet,520.4399610489197,724.2254331852389,-0.0002163139373654
801,TotalSalesAmount,LightGBM,417.6517325114466,663.3411501461713,0.1608873500961382
801,TotalSalesQuantity,Prophet,27.202562984729184,38.46121828518859,3.095976893652264e-05
801,TotalSalesQuantity,LightGBM,21.82295612459233,34.82961236297476,0.179954853145176
587,TotalSalesAmount,Prophet,23067.57775958145,31604.42819770566,-0.1535781454552232
587,TotalSalesAmount,LightGBM,21841.09482638799,28452.606097442287,0.0650352269706091
