y_true,y_pred
,2743.4182647454554
,2799.2204318931513
,2646.4658200812764
,2304.525371494686
,3172.7802399366615
,3087.450206101428
,2742.5660863929593
,2798.3682535404478
,2645.6136417285534
,2303.673193141993
,2687.798972339594
,3171.928061583818
,3086.598027767277
,2741.713908077569
,2797.516075244028
,2302.8210148829785
,2686.9467940982036
,3171.0758833621376
,3085.7458495450833
,2796.6638970218387
,2301.9688366610326
,2686.094615876763
,3084.8936713228895
,2740.0095516339666
,2795.8117188880283
,2685.24243800564
,3169.3715273576067
,2739.157374027122
,2794.9595412812105
,2642.2049295753377
,2300.2644810958036
,2684.390260398021
,3168.5193497509467
,3083.1893160216955
,2738.3051964202773
,2794.107363881962
,2641.352752384375
,2683.538083621919
,3167.667173182175
,2737.4530202668434
,2793.2551877280243
,2640.5005762301325
,2298.560127957979
,2682.6859074685253
,3166.8149970285403
,3081.4849635066375
,2736.6008441129816
,2792.4030115365817
,2639.648400000451
,2297.707951690767
,3165.9628206853477
,3080.6327871257477
,2791.5508351182702
,2638.7962235817126
,2680.981554744615
,3165.1106442669893
,3079.7806107069196
,2734.896491275713
,2637.944047610262
,2680.1293792196543
,3164.2584689649643
,3078.928435629301
,2789.846484067268
,2637.0918727542035
,2679.277204364445
,3163.4062941090137
,3078.0762607733386
,2733.1921415645725
,2788.9943092116173
,2294.2992507865665
,2678.425030969367
,3162.5541212020003
,3077.224088352922
,2732.339969631549
,2635.387526940839
,2293.447079340615
,2677.572859523921
,3161.701949756314
,3076.371916906723
,2787.289966319741
,2634.5353554949147
,2292.5949087438303
,3160.8497808571246
,3075.5197488581202
,2786.4377999690564
,2633.683189992784
,2291.742743242043
,2675.868524274283
,3159.997615355603
,3074.6675833559602
,2785.5856344673343
,2632.8310244914082
,2290.8905777036325
,3159.145449743414
,3073.8154177065517
,2728.9312997977113
,2631.9788587313383
,2290.0384119435917
,2674.164192939941
,3158.2932839838113
,3072.963251947324
,2728.079134037868
,2783.881302984308
,2631.1266929710837
,2289.1862461491555
,2673.312027111274
,2727.2269681049056
,2783.0291370165355
,2630.2745269686184
,2288.3340801469135
,2672.459861106754
,3156.588952117431
,3071.2589200459333
,2726.3748021022675
,2287.481914144421
,2671.6076952257768
,3070.4067544059544
,2725.5226365842723
,2781.3248056165908
,2628.5701956896587
,2670.7555300705244
,3154.8846212011345
,3069.554589250881
,2780.472640460898
,2627.718030533743
,2285.7775838329067
,2669.903365455903
,3154.0324571292504
,2723.8183084397683
,2779.620478014538
,2284.9254224701713
,2669.0512040934304
,3153.1802957665377
,3067.850264357127
,2722.9661470772244
,2778.7683166513166
,2626.0137072662137
,2284.0732611071935
,2668.199111818108
,3152.328272578082
,3066.9983102561564
,2722.114262062701
,2777.9165007243573
,2625.1619604259777
,2283.221583354394
,2667.34743406449
,3066.146632503786
,2777.0648229716985
,2666.495756312067
,3065.3149018295535
,2720.440827175152
,2623.508472618858
,2281.57806908549
,2665.713893335994
,3149.8530276353226
,2719.6589641987775
,2664.9320303598734
,3149.071164658504
,3063.751175876612
,2718.8771012221887
,2774.689313423495
,2622.065881680764
,2664.5135724294905
,2280.322695296676
,2664.57965456304
,3148.839923877546
,3063.641070110915
,2280.388777429802
,2664.6457366965897
,2718.954212605844
,2664.7118188288014
,3148.972088143525
,3063.875221618866
,2719.2242692214886
,2775.2596036797213
,2622.7381591788408
,2281.030877903027
,3064.6552144412626
,2776.039596502657
,2623.5181520014526
,2666.169817232761
,3150.5320737895963
,2720.784254867134
,2776.8282054926235
,2282.616712049963
,3066.2668970900313
,2777.6685114855873
,2625.155683150864
,2283.457018042908
,2667.8245807165695
,2722.464866852996
,2625.9959891439703
,2284.297324035603
,2668.664886709817
,3153.035759433624
,2723.442574946621
,2627.1110993378643
,2285.481135280117
,2669.917399005102
,3154.356972778504
,3069.3374234710204
,2724.763788291547
,2780.8764399671577
,2628.432312682593
,2671.2386123494366
,3155.6781861237982
,3070.665569323264
,2726.0988666513113
,2782.218450834551
,2288.1582245074774
,2672.6014207395274
,3157.047927021067
,2727.468607548567
,2783.5881917315164
,2631.150996954783
,2289.5279654044816
,3158.417667918337
,3073.4050511182613
,2728.841967874284
,2784.96517148614
,2632.531596138595
,2290.9121840163166
,3159.809125387158
,2786.3602483841414
,2633.9266730367385
,2292.307260914041
,2676.754076574966
,2731.6321216696406
,2787.7553252818348
,2635.333307717343
,2293.7254533779633
,2678.1838268223423
,3162.6455103147728
,3077.6480707269234
,2733.096545265989
,2679.6598082017917
,3164.1214916934377
,2734.5725266447866
,2638.285270474913
,3080.6000334843156
,2736.052406395923
,2298.168991003664
,2793.694336147053
,2641.2762169547855
,2299.6722609876906
,3168.6001146685317
,3083.6065734528056
,2739.0589463640813
,2301.1755309717173
,2685.6378027868464
,3170.1033846528235
,3085.109843436459
,2687.141074973489
,3171.606657279548
,3086.613116503253
,2742.065489856123
,2645.7860313109013
,2304.1820757844316
,3173.109930346772
,2743.5687629228923
,2799.7074231301217
,2647.289304377473
,2305.685348851476
,2745.072037721475
,2648.79258004186
,2307.1886249488575
,3176.116480376757
,2746.5753138185974
,2308.6919010462543
,2693.154173735637
,3177.6197564742906
,3092.6262161317663
,2694.6574498334107
,3179.1230325713227
,3094.129492228913
,2749.5818658384997
,2805.720526303892
,2653.3024078089893
,2311.69845254122
,3095.6327671014724
,2654.805682683147
,2313.2017274141563
,3182.129582492347
,3097.1360419741577
,2808.7270760495308
,2314.7050022869626
,3098.6393171479117
,2810.230351423256
,2700.6705504751535
,3185.1361331387006
,3100.14259272138
,2755.5949664313357
,2317.711553434645
,2702.1738260493744
,3186.6394087126387
,3101.6458682948487
,2813.2369025706103
,2660.818784177093
,2758.601517578874
,2814.7401781445956
,2662.3220597504655
,2320.7181045820776
,2705.1803771978653
,3189.645959860057
,2816.2434537181716
,3191.1492354339953
,2761.608068726381
,2323.724655729631
,3192.65251100802
,2763.1113443001655
,2819.250004865834
,2666.8318864715234
,2325.2279313034765
,3109.162246164054
,2764.6146198743168
,2820.7532804396146
,3195.6590621554387
,3110.6655217376483
,2822.2565560133958
,2328.2344824511515
,2712.69675506534
,2823.7598315872774
,2329.737758024868
,2714.200030639561
,3198.6656133034016
,3113.67207288539
,2825.2631071610576
,2672.844988766509
,2715.703306212587
,3200.1688888768385
,3115.1753484595383
,2770.6277221693617
,2826.7663827350425
,2332.7443091724217
,3201.67216445082
,3116.678624033133
,2772.1309977431156
,2828.2696583085153
,2334.2475847462665
,2718.7098573610783
,3118.1818996074066
,2773.634273317083
,2335.7508603201118
,2720.213132935347
,3119.6851751808754
